neuroNamesID,cNIDType,cNID,cTypeId,cType,brainStructureType,standardName,standardAcronym,brainInfoURL,cDefinition,synonyms,parents
206,h,188,9,classical nervous system,White Primary Structure,olfactory limb of the anterior commissure,aca,http://braininfo.org/centraldirectory.aspx?ID=206,"refers to one of two parts of the anterior commissure identified on the basis of topology. The other is the temporal limb of the anterior commissure. In the human ( Carpenter-1983 ) and the macaque ( Carmichael-1996 ) it is anterior to, and smaller than the temporal limb. In the rat ( Swanson-2004 ) and mouse ( Hof-2000 ) it is anteroventral to, and considerably larger than the temporal limb.",,
207,h,189,9,classical nervous system,White Primary Structure,temporal limb of the anterior commissure,tac,http://braininfo.org/centraldirectory.aspx?ID=207,"refers to one of two parts of the anterior commissure identified on the basis of internal structure. The other is the olfactory limb of the anterior commissure. In the human ( Carpenter-1983 ) and the macaque ( Carmichael-1996 ) it is posterior to, and larger than the olfactory limb. In the rat ( Swanson-2004 ) and mouse ( Hof-2000 ) it is posterodorsal to, and considerably smaller than the olfactory limb.",,
208,h,190,9,classical nervous system,White Primary Structure,lamina terminalis,LT,http://braininfo.org/centraldirectory.aspx?ID=208,N/A,,
209,h,191,9,classical nervous system,Volumetric Superstructure,lateral ventricle,LV,http://braininfo.org/centraldirectory.aspx?ID=209,N/A,,
210,h,192,9,classical nervous system,Superficial Structure,calcar avis,cal,http://braininfo.org/centraldirectory.aspx?ID=210,refers to a surface feature of the occipital horn of the lateral ventricle in the human. Defined on the basis of dissection it is a long horizontal protrusion into the medial wall of the ventricle produced by the calcarine sulcus ( Wikipedia ).,,
211,h,193,9,classical nervous system,Superficial Structure,collateral eminence,coe,http://braininfo.org/centraldirectory.aspx?ID=211,"refers to a surface feature of the occipital horn of the lateral ventricle in the human. Defined on the basis of dissection it is a swelling in the lateral wall of the ventricle next to the hippocampal formation. It is continuous with the flatter collateral trigone. It is caused by the invagination of the collateral sulcus. It's size depends on the depth of that sulcus, so it is not always present ( Wikipedia ).",,
212,h,194,9,classical nervous system,Superficial Structure,parieto-occipital eminence,poce,http://braininfo.org/centraldirectory.aspx?ID=212,N/A,,
213,h,195,9,classical nervous system,Superficial Structure,lamina affixa,lma,http://braininfo.org/centraldirectory.aspx?ID=213,refers to a surface feature of the floor of the body of the lateral ventricle in the human. Defined on the basis of dissection it is a narrow longitudinally oriented area bounded medially by the tenia choroidea and laterally by the thalamostriate vein and stria terminalis ( Carpenter-1983 ).,,
214,h,196,9,classical nervous system,Superficial Structure,tenia choroidea,tnclv,http://braininfo.org/centraldirectory.aspx?ID=214,"refers to a surface feature of the floor of the body of the lateral ventricle in the human. Defined on the basis of dissection it is the line of attachment of the tela choroidea of the lateral ventricle to the dorsal surface of the thalamus. ""It extends from the interventricular foramen diagonally across the thalamus to its ventrolateral border and then along the stria terminalis to the region of the amygdala"" ( Crosby-1962 ).",,
215,h,197,9,classical nervous system,Superficial Structure,tenia of the fimbria,tfb,http://braininfo.org/centraldirectory.aspx?ID=215,refers to a surface feature of the medial wall of the lateral ventricle in the human. Defined on the basis of dissection it is the line of attachment of the tela choroidea of the lateral ventricle to the lateral surface of the fimbria ( Crosby-1962 ).,,
216,h,198,9,classical nervous system,Superficial Structure,tenia of the fornix,tfx,http://braininfo.org/centraldirectory.aspx?ID=216,refers to a surface feature of the medial wall of the lateral ventricle in the human. Defined on the basis of dissection it is the line of attachment of the tela choroidea of the lateral ventricle to the lateral surface of the fornix ( Crosby-1962 ).,,
217,h,199,9,classical nervous system,Superficial Structure,collateral trigone,clt,http://braininfo.org/centraldirectory.aspx?ID=217,refers to a surface feature of the lateral ventricle in the human. Defined on the basis of dissection it is a flattened triangular area located at the junction of the temporal horn of the lateral ventricle and the occipital horn of the lateral ventricle ( Riley-1943 ).,,
218,h,200,9,classical nervous system,Other Primary Structure,choroid plexus of the lateral ventricle,cplv,http://braininfo.org/centraldirectory.aspx?ID=218,N/A,,
219,h,201,9,classical nervous system,Other Primary Structure,tela choroidea of the lateral ventricle,tclv,http://braininfo.org/centraldirectory.aspx?ID=219,N/A,,
220,h,202,9,classical nervous system,Fluid Primary Structure,frontal horn of the lateral ventricle,FLV,http://braininfo.org/centraldirectory.aspx?ID=220,N/A,,
221,h,203,9,classical nervous system,Fluid Primary Structure,body of the lateral ventricle,BLV,http://braininfo.org/centraldirectory.aspx?ID=221,N/A,,
222,h,204,9,classical nervous system,Fluid Primary Structure,temporal horn of the lateral ventricle,TLV,http://braininfo.org/centraldirectory.aspx?ID=222,N/A,,
223,h,205,9,classical nervous system,Fluid Primary Structure,occipital horn of the lateral ventricle,OLV,http://braininfo.org/centraldirectory.aspx?ID=223,N/A,,
224,h,206,9,classical nervous system,Volumetric Superstructure,basal ganglia,BG,http://braininfo.org/centraldirectory.aspx?ID=224,"refers to the group of large nuclei that comprise the major subcortical portion of the endbrain. Classically the group included the striatum, the globus pallidus, the claustrum, the endopiriform claustrum, the amygdala and intervening tracts and laminae ( Nomina-1983 ). 
Most authors now use the term in reference to the basal ganglia circuit. Some earlier authors used it in referring to subsets of the classical group ( see: basal ganglia of Carpenter, basal ganglia of Crosby, and basal ganglia of Martin ).",,
225,h,207,9,classical nervous system,Volumetric Superstructure,striatum,Str,http://braininfo.org/centraldirectory.aspx?ID=225,"refers to the largest of five predominantly cellular components of the basal ganglia ( Nomina-1983 ). In the human ( Carpenter-1983 ) and the macaque ( Martin-1997 ) it has two parts, the caudate nucleus and the putamen. The caudate nucleus encircles the putamen, separated from it by the internal capsule. 
The caudate nucleus and the putamen are not distinguishable in the rat and mouse. There  the myelinated fibers that penetrate the striatum to connect the cerebral cortex and subcortical structures do not form an internal capsule but are distributed throughout the striatum. Thus, in the rodent the striatum is commonly called 'caudoputamen' ( Swanson-2004 ). 
In the striatopallidal system, the classical striatum, or caudoputamen, is the largest part of the dorsal striatum  ( Heimer-1995 ). See also: extended striatum. Functionally it is part of the cerebral nuclei ( Swanson-2004 ).",,
226,h,208,9,classical nervous system,Volumetric Superstructure,caudate nucleus,Cd,http://braininfo.org/centraldirectory.aspx?ID=226,"refers to a predominantly cellular component of the striatum in the primate. Defined on the basis of Nissl and myelin stains it is more medial than  the other component, the putamen. The caudate nucleus encircles the putamen, separated from it by the internal capsule ( Carpenter-1983 ). The caudate nucleus and the putamen are not distinguishable in the rodent. There  the myelinated fibers that pass through the striatum to connect the cerebral cortex and subcortical structures do not form an internal capsule but are distributed throughout the striatum. Thus, in the rodent the striatum is often called 'caudoputamen' ( Swanson-2004 ).
 In the striatopallidal system, the classical striatum, or caudoputamen, is the largest part of the dorsal striatum  ( Heimer-1995 ). Functionally it belongs to the cerebral nuclei ( Swanson-2004 ).",,
227,h,209,9,classical nervous system,Gray Primary Structure,head of the caudate nucleus,HCd,http://braininfo.org/centraldirectory.aspx?ID=227,N/A,,
228,h,210,9,classical nervous system,Gray Primary Structure,body of the caudate nucleus,BCd,http://braininfo.org/centraldirectory.aspx?ID=228,N/A,,
229,h,211,9,classical nervous system,Gray Primary Structure,tail of the caudate nucleus,TCd,http://braininfo.org/centraldirectory.aspx?ID=229,N/A,,
230,h,212,9,classical nervous system,Gray Primary Structure,putamen,Pu,http://braininfo.org/centraldirectory.aspx?ID=230,"refers to a predominantly cellular component of the striatum in the primate. Defined on the basis of Nissl and myelin stains it is more lateral than the other component, the caudate nucleus. The caudate nucleus encircles the putamen, separated from it by the internal capsule ( Carpenter-1983 ). The caudate nucleus and the putamen are not distinguishable in the rodent. There  the myelinated fibers that pass through the striatum to connect the cerebral cortex and subcortical structures do not form an internal capsule but are distributed throughout the striatum. Thus, in the rodent the striatum is often called 'caudoputamen' ( Swanson-2004 ). 
In the striatopallidal system, the classical striatum, or caudoputamen, is the largest part of the dorsal striatum  ( Heimer-1995 ). Functionally it is part of the cerebral nuclei ( Swanson-2004 ).",,
231,h,213,9,classical nervous system,Volumetric Superstructure,globus pallidus,GP,http://braininfo.org/centraldirectory.aspx?ID=231,N/A,,
232,h,214,9,classical nervous system,Gray Primary Structure,lateral globus pallidus,LGP,http://braininfo.org/centraldirectory.aspx?ID=232,N/A,,
233,h,215,9,classical nervous system,Gray Primary Structure,medial globus pallidus,MGP,http://braininfo.org/centraldirectory.aspx?ID=233,N/A,,
234,h,216,9,classical nervous system,White Primary Structure,lateral medullary lamina,lml,http://braininfo.org/centraldirectory.aspx?ID=234,"The lateral medullary lamina is a thin white structure located in the basal ganglia of the primate brain. Bounded laterally by the putamen and medially by the globus pallidus, it is defined on the basis of Nissl or myelin stain ( Carpenter-1983 ).",,
235,h,217,9,classical nervous system,White Primary Structure,medial medullary lamina,mml,http://braininfo.org/centraldirectory.aspx?ID=235,refers to a thin white structure identified by Nissl and myelin stains in the basal ganglia of primates. It is located in the globus pallidus between the medial globus pallidus and the lateral globus pallidus ( Carpenter-1983 ).,,
236,h,218,9,classical nervous system,White Primary Structure,accessory medullary lamina,aml,http://braininfo.org/centraldirectory.aspx?ID=236,refers to a thin white layer that subdivides the medial segment of the globus pallidus into the inner portion of the medial globus pallidus and the outer portion of the medial globus pallidus  ( Carpenter-1983 ).,,
237,h,219,9,classical nervous system,Volumetric Superstructure,amygdala,Amg,http://braininfo.org/centraldirectory.aspx?ID=237,N/A,,
238,h,220,9,classical nervous system,Volumetric Superstructure,corticomedial nuclear group,CMA,http://braininfo.org/centraldirectory.aspx?ID=238,N/A,,
239,h,221,9,classical nervous system,Gray Primary Structure,anterior amygdalar area,AA,http://braininfo.org/centraldirectory.aspx?ID=239,"refers to a cytoarchitecturally defined part of the rostral amygdala. In the human ( Mai-1997 ) and the macaque ( Paxinos-2009a ) it is located dorsomedially; it is bounded medially by the entorhinal sulcus and laterally by the part of the ventral claustrum known as the endopiriform claustrum. Proceeding caudally its upper (in human) or lateral (in macaque) boundary is formed by the central amygdalar nucleus. Its ventral boundary is formed by the cortical amygdalar nucleus, the medial amygdalar nucleus and the accessory basal nucleus.
In the rat ( Paxinos-2009b ) and the mouse ( Franklin-2008 ) it is bounded by the same structures except that part of its rostromedial boundary is with the basal nucleus and part of the lower boundary is with the nucleus of the lateral olfactory tract. Some authors regard the part of the area that meets the brain surface in the rat and mouse as belonging to the medial amygdalar nucleus  ( Swanson-2004; Hof-2000 ).
Classically the anterior amygdalar area has been classified as part of the corticomedial nuclear group of the amygdala (Click 'Locus in Brain Hierarchy' below; Carpenter-1983 ). In the Functional CNS Model - Rat it is part of the extended striatum ( Swanson-2004 ).  ",,
240,h,222,9,classical nervous system,Gray Primary Structure,cortical amygdalar nucleus,CoA,http://braininfo.org/centraldirectory.aspx?ID=240,"refers to the greater part of the amygdala facing the medial surface of the temporal lobe in primates and the ventromedial surface of the cerebral hemisphere in rodents. Defined on the basis of multiple criteria, it is subdivided variously by different authors. Most,divide it into an anterior cortical amygdalar nucleus and a posterior cortical amygdalar nucleus. In the human and the macaque its cortical surface is referred to as the periamygdalar area  ( Carpenter-1983 ), and some authors refer the the cortical nucleus itself as periamygdalar cortex ( Amaral-1992; Olmos-2004 ). ",,
241,h,223,9,classical nervous system,Gray Primary Structure,medial amygdalar nucleus,MeA,http://braininfo.org/centraldirectory.aspx?ID=241,"refers to a composite structure of the amygdala defined on the basis of Nissl stain. In the human ( Mai-1997 ) and the macaque ( Amaral-1992 ) it consists of two parts, the anterior part of the medial amygdalar nucleus and the posterior part of the medial amygdalar nucleus. 
In the rat ( Swanson-2004 ) and the mouse ( Hof-2000 ) it is subdivided into five parts: the anterodorsal part of the medial amygdalar nucleus, the anteroventral part of the medial amygdalar nucleus, the posterodorsal part of the medial amygdalar nucleus, the posteroventral part of the medial amygdalar nucleus and the nucleus of the accessory olfactory tract.
Classically the medial amygdalar nucleus is categorized as part of the corticomedial nuclear group ( Carpenter-1983 ). In the functional nervous system it is classified as part of the extended striatum ( Swanson-2004 ).",,
242,h,224,9,classical nervous system,Gray Primary Structure,nucleus of the lateral olfactory tract,LOT,http://braininfo.org/centraldirectory.aspx?ID=242,N/A,,
243,h,225,9,classical nervous system,Gray Primary Structure,central amygdalar nucleus,CeA,http://braininfo.org/centraldirectory.aspx?ID=243,N/A,,
244,h,226,9,classical nervous system,Volumetric Superstructure,basolateral nuclear group,BL,http://braininfo.org/centraldirectory.aspx?ID=244,N/A,,
245,h,227,9,classical nervous system,Gray Primary Structure,lateral amygdalar nucleus,LA,http://braininfo.org/centraldirectory.aspx?ID=245,N/A,,
246,h,228,9,classical nervous system,Volumetric Superstructure,basolateral nucleus of the amygdala,BA,http://braininfo.org/centraldirectory.aspx?ID=246,N/A,,
247,h,229,9,classical nervous system,Gray Primary Structure,lateral part of the basolateral nucleus,BAL,http://braininfo.org/centraldirectory.aspx?ID=247,N/A,,
248,h,230,9,classical nervous system,Gray Primary Structure,medial part of the basal amygdalar nucleus,BAM,http://braininfo.org/centraldirectory.aspx?ID=248,N/A,,
249,h,231,9,classical nervous system,Gray Primary Structure,accessory basal nucleus,ABA,http://braininfo.org/centraldirectory.aspx?ID=249,N/A,,
250,h,232,9,classical nervous system,Gray Primary Structure,intercalated amygdalar nuclei,IA,http://braininfo.org/centraldirectory.aspx?ID=250,N/A,,
251,h,233,9,classical nervous system,Gray Primary Structure,endopiriform claustrum,En,http://braininfo.org/centraldirectory.aspx?ID=251,"refers to one of five parts of the classical basal ganglia. The others are the striatum, globus pallidus, amygdala and claustrum. It is  a collection of cells located between the claustrum on the one hand and the piriform area and amygdala on the other. It relates in structure and topology to the overlying piriform area as the claustrum relates to the cortical area, particularly the insular cortex, which overlies it. The endopiriform claustrum is found in the human ( Yilmazer-Hanke-2012 ), the macaque ( Price-1990 ), the rat ( Swanson-2004 ), and the mouse ( Hof-2000 ). 
In rodents and the macaque it has two subdivisions: the dorsal endopiriform claustrum and the ventral endopiriform claustrum. In rodents both are located between the piriform area ventrolaterally and the external capsule medially; the location of the dorsal endopiriform claustrum is clearly superior to the ventral endopiriform claustrum. The temporal lobe of the macaque, which corresponds to the ventrolateral area of the rodent, is a much expanded, medially rotated structure. Thus, in the macaque the location of the ventral part of the endopiriform claustrum is medial and superior to the dorsal part ( Paxinos-2009a ). In the human the endopiriform claustrum is not divided into dorsal and ventral parts ( Yilmazer-Hanke-2012 ). Some anatomists divide it into several components: including ventral, prepiriform, diffuse, temporal, limitans, preamygdalar, and ventral parts ( Mai-2004 ).
The endopiriform claustrum of rodents is known as the endopiriform nucleus, which emphasizes its relation to the overlying piriform area ( Swanson-2004 ). Classically in primates it was known by a variety of names that emphasized its location between the claustrum and the amygdala; 'claustral-amygdalar area' for example ( Crosby-1962 ). Functionally it belongs to the cortical subplate nuclei ( Swanson-2004 ).",,
252,h,234,9,classical nervous system,Gray Primary Structure,claustrum,Cl,http://braininfo.org/centraldirectory.aspx?ID=252,N/A,,
253,h,235,9,classical nervous system,White Primary Structure,external capsule,ec,http://braininfo.org/centraldirectory.aspx?ID=253,N/A,,
254,h,236,9,classical nervous system,White Primary Structure,extreme capsule,exc,http://braininfo.org/centraldirectory.aspx?ID=254,N/A,,
255,h,237,9,classical nervous system,Volumetric Superstructure,septum,Spt,http://braininfo.org/centraldirectory.aspx?ID=255,N/A,,
256,h,238,9,classical nervous system,Volumetric Superstructure,septum pellucidum,spt,http://braininfo.org/centraldirectory.aspx?ID=256,N/A,,
257,h,239,9,classical nervous system,Other Primary Structure,cave of the septum pellucidum,CSP,http://braininfo.org/centraldirectory.aspx?ID=257,N/A,,
258,h,240,9,classical nervous system,White Primary Structure,lamina of the septum pellucidum,lsp,http://braininfo.org/centraldirectory.aspx?ID=258,N/A,,
259,h,241,9,classical nervous system,Volumetric Superstructure,septal nuclei,SptN,http://braininfo.org/centraldirectory.aspx?ID=259,N/A,,
260,h,242,9,classical nervous system,Gray Primary Structure,dorsal septal nucleus,DS,http://braininfo.org/centraldirectory.aspx?ID=260,N/A,,
261,h,243,9,classical nervous system,Gray Primary Structure,lateral septal nucleus,LS,http://braininfo.org/centraldirectory.aspx?ID=261,N/A,,
262,h,244,9,classical nervous system,Gray Primary Structure,medial septal nucleus,MS,http://braininfo.org/centraldirectory.aspx?ID=262,N/A,,
263,h,245,9,classical nervous system,Gray Primary Structure,triangular septal nucleus,TS,http://braininfo.org/centraldirectory.aspx?ID=263,N/A,,
264,h,246,9,classical nervous system,Gray Primary Structure,septofimbrial nucleus,SFi,http://braininfo.org/centraldirectory.aspx?ID=264,N/A,,
265,h,247,9,classical nervous system,Gray Primary Structure,nucleus of the diagonal band,DB,http://braininfo.org/centraldirectory.aspx?ID=265,N/A,,
266,h,248,9,classical nervous system,Gray Primary Structure,nucleus of the anterior commissure,AC,http://braininfo.org/centraldirectory.aspx?ID=266,N/A,,
267,h,249,9,classical nervous system,Gray Primary Structure,nucleus of stria terminalis,StT,http://braininfo.org/centraldirectory.aspx?ID=267,"refers to a predominantly cellular structure defined on the basis of Nissl stain that wraps around the dorsal, rostral and ventral surfaces of the anterior commissure. It is bounded laterally by the internal capsule, medially by the anterior column of the fornix and the lateral septal nucleus, and dorsally by the head of the caudate nucleus and the frontal horn of the lateral ventricle. It is found in the human, the macaque, the rat and the mouse. Classically it is categorized as one of the septal nuclei  ( Andy-1968 ). In recent decades, however, authors have, on the basis of other stains and connectivity studies, subdivided it and incorporated it into a broader concept: (bed) nuclei of stria terminalis. This includes cell groups classically identified with parts of the anterior hypothalamic region and the substantia innominata. In the Functional CNS Model - Rat the nuclei of stria terminalis are categorized as part of the ventral pallidum ( Swanson-2004 ).",,
268,h,250,9,classical nervous system,Volumetric Superstructure,fornix,fx,http://braininfo.org/centraldirectory.aspx?ID=268,N/A,,
269,h,251,9,classical nervous system,White Primary Structure,anterior column of the fornix,afx,http://braininfo.org/centraldirectory.aspx?ID=269,N/A,,
270,h,252,9,classical nervous system,White Primary Structure,precommissural fornix,pfx,http://braininfo.org/centraldirectory.aspx?ID=270,N/A,,
271,h,253,9,classical nervous system,White Primary Structure,body of the fornix,bfx,http://braininfo.org/centraldirectory.aspx?ID=271,N/A,,
272,h,254,9,classical nervous system,White Primary Structure,posterior column of the fornix,pcfx,http://braininfo.org/centraldirectory.aspx?ID=272,N/A,,
273,h,255,9,classical nervous system,White Primary Structure,hippocampal commissure,cfx,http://braininfo.org/centraldirectory.aspx?ID=273,N/A,,
274,h,256,9,classical nervous system,Gray Primary Structure,substantia innominata,SI,http://braininfo.org/centraldirectory.aspx?ID=274,"refers to a predominantly cellular portion of the basal endbrain defined on the basis of Nissl stain. Caudal to the anterior commissure it lies deep to the globus pallidus and dorsal to the amygdala. Rostral to the anterior commissure it lies deep to the striatum. The more rostral portion contains the basal nucleus  ( Anthoney-1994 ).
In the late twentieth century the region containing the substantia innominata was resegmented on the basis of neurochemistry and connectivity to constitute the striatopallidal system  ( Heimer-1995 ). In this scheme the caudal portion of substantia innominata is located largely in the ventral pallidum and the rostral portion in the ventral striatum.",,
275,h,257,9,classical nervous system,Gray Primary Structure,basal nucleus,B,http://braininfo.org/centraldirectory.aspx?ID=275,"refers to discrete groups of large cells revealed by Nissl stain in the rostral portion of the substantia innominata of the human  ( Anthoney-1994; Schiebler-1999 ) and the macaque ( Szabo-1984 ). The primate structure probably has a topological equivalent in the rat ( Swanson-2004 ) and the mouse ( Hof-2000 ), which has been variously known as the magnocellular preoptic nucleus, the nucleus of the horizontal limb of the diagonal band, and the magnocellular nucleus of the pallidum ( Swanson-2004 ).",,
276,h,258,9,classical nervous system,Gray Primary Structure,islands of Calleja,IClj,http://braininfo.org/centraldirectory.aspx?ID=276,N/A,,
277,h,259,9,classical nervous system,Gray Primary Structure,nucleus accumbens,Acb,http://braininfo.org/centraldirectory.aspx?ID=277,N/A,,
278,h,260,9,classical nervous system,Gray Primary Structure,subcallosal gyrus,SCG,http://braininfo.org/centraldirectory.aspx?ID=278,"refers to a part of the limbic lobe of cerebral cortex defined on the basis of topology in the human. It is located rostral to the narrow paraterminal gyrus, ventral to the anterior cingulate gyrus and caudal to the superior frontal gyrus and straight gyrus. The nomenclature for this cortical region of the human is unusually confused  ( Anthoney-1994 ). In accord with the principle of naming cortical volumetric structures defined by dissection as gyri, lobules etc. and those defined by internal structure as areas, regions etc.,  NeuroNames adheres to the definition of Broca as cited in Carpenter-1983.
It is found in the macaque ( Vogt-1987 ), but not the rat or mouse, which do not have sulcal landmarks. The rat has a genu of the corpus callosum, but the area below it is occupied by the indusium griseum, a component of archicortex, not of cingulate cortex ( Swanson-2004 ). The mouse has no cortical area ventral to the genu ( Hof-2000 ).",,
279,h,261,9,classical nervous system,Gray Primary Structure,olfactory bulb,Olf,http://braininfo.org/centraldirectory.aspx?ID=279,"refers, in the human and macaque, to a small oval white structure located in the cleft between the ventral surface of the frontal lobe and the floor of the cranial cavity ( Carpenter-1983 ). In the rat and mouse it is a much larger structure in comparison to rest of the brain; there it occupies almost a quarter of the length of the cranial cavity ( Swanson-2004 ). Though classically considered a separate structure from the cerebral cortex in primates ( Nomina-1983 ), it is classified on the basis of internal structure as a component of paleocortex in all species ( Stephan-1975 ). In all species it is connected rostrally with the olfactory nerve. Caudally in primates it connects with the olfactory peduncle; in rodents it connects through the olfactory tract directly to the olfactory tubercle and olfactory areas (rodent) of the cerebral cortex ( Swanson-2004 ). It is a layered structure that contains cell bodies of the second neurons in the olfactory system. It is a key structure in the system that mediates the sense of smell.",,
280,h,262,9,classical nervous system,Gray Primary Structure,anterior olfactory nucleus,AO,http://braininfo.org/centraldirectory.aspx?ID=280,"refers to the most rostral group of nerve cells that receive input from the olfactory bulb. The cells are identified histologically by Nissl stain. In the human and the macaque they form small groups scattered within the olfactory tract from the olfactory bulb through the olfactory peduncle to a much larger group on the dorsal surface of the tract on the underside of the orbital gyri. It is composed of several subgroups, which are defined by topology. 
Since the overall structure of the nucleus differs by species, the subgroups vary considerably. The human has only bulbar, medial,  and lateral subdivisions ( Price-2004 ). The macaque has, in addition, external and dorsal subdivisions ( Price-2004 ). The rat has medial, lateral, dorsal, external and posteroventral parts ( Swanson-2004 ). And the mouse has the same as the rat except for a ventral part and no posteroventral part ( Hof-2000 ). The nucleus is part of the olfactory system, which mediates the sense of smell.",,
281,h,263,9,classical nervous system,Gray Primary Structure,medial olfactory gyrus,MOG,http://braininfo.org/centraldirectory.aspx?ID=281,refers to the slight ridge on the ventral surface of the subcallosal gyrus formed by the root of the olfactory peduncle  ( Morris-1907 ). It expands into and is continuous with the termination of the cingulate gyrus  ( Riley-1943 ).,,
282,h,264,9,classical nervous system,Gray Primary Structure,olfactory tubercle,Tu,http://braininfo.org/centraldirectory.aspx?ID=282,"refers to a predominantly cellular structure defined on the basis of Nissl stain. It is located on the ventral surface of the endbrain caudal to the anterior olfactory nucleus, medial to the olfactory tract,  rostral to the piriform area and ventral to the nucleus accumbens and substantia innominata. It contains some of the islands of Calleja.
In the human it is so little developed as to be barely distinguishable from the overlying nucleus accumbens. In the macaque it is somewhat more prominent and bounded medially by the tenia tecta ( Price-2004 ). In primates it does not protrude from surrounding areas and is penetrated by numerous small blood vessels. These give it the appearance on dissection that accounts for the name 'anterior perforated substance' in human neuroanatomy ( Crosby-1962 ).
The location in the rat ( Swanson-2004 ) and the mouse ( Hof-2000 ) is the same as in the macaque. It protrudes on the rostroventral surface of the endbrain where it is more clearly stratified and much larger in proportion to the size of the brain than in primates. It is involved in the sense of smell.  ",,
283,h,265,9,classical nervous system,White Primary Structure,olfactory peduncle,olf,http://braininfo.org/centraldirectory.aspx?ID=283,"refers to a slender cylindrical structure that connects the olfactory bulb of primates anteriorly with the lateral olfactory tract and anterior olfactory nucleus on the ventral surface of the frontal lobe posteriorly. Defined on the basis of dissection it lies on the ventral surface of the orbital gyri in the olfactory sulcus between the straight gyrus medially and the medial orbital gyrus laterally ( Anthoney-1994 ). It contains parts of the olfactory tract and the anterior olfactory nucleus. It is found in the human ( Carpenter-1983 ) and the macaque ( Martin-2000 ). It is not found in the rat ( Swanson-2004 ) or mouse ( Hof-2000 ) where the olfactory bulb connects through the olfactory tract directly to the anterior olfactory nucleus, tenia tecta and piriform area of the rostral cerebral cortex. It is part of the olfactory system, which mediates the sensation of smell. Because the predominant component of the olfactory peduncle is the olfactory tract, it is often labeled 'olfactory tract' in illustrations. ",,
284,h,266,9,classical nervous system,White Primary Structure,olfactory tract,lot,http://braininfo.org/centraldirectory.aspx?ID=284,"refers a bundle of nerve fibers that connect the olfactory bulb with olfactory nuclei and the olfactory cortex of the ventral endbrain. It contains axons from the second neurons in the olfactory system, which are identified histologically by fiber and myelin stains. The tract originates on the lateral aspect of the olfactory bulb. In the human and the macaque it runs in the olfactory peduncle, in close relation to the anterior olfactory nucleus, onto the ventral posterior surface of the frontal lobe. There it passes lateral to the olfactory tubercle around the junction between the frontal and temporal lobes onto the anteromedial part of the temporal lobe, where it overlies the piriform area and the amygdala ( Price-2004 ). In the rat ( Swanson-2004 ) and the mouse ( Hof-2000 ) it runs directly from the lateral aspect of the olfactory bulb to overlie the anterior olfactory nucleus and the piriform area lateral to the olfactory tubercle and thence to the cortical amygdalar nucleus. It is part of the olfactory system, which mediates the sensation of smell. Most authors continue to refer to the structure as the 'lateral olfactory tract', though the medial olfactory tract and the intermediate olfactory tract to which it was originally contrasted are no longer deemed to exist ( Price-1990 ) ",,
285,h,267,9,classical nervous system,White Primary Structure,diagonal band,db,http://braininfo.org/centraldirectory.aspx?ID=285,N/A,,
286,h,268,9,classical nervous system,White Primary Structure,stria terminalis,st,http://braininfo.org/centraldirectory.aspx?ID=286,"refers to a predominantly white matter structure of the endbrain defined on the basis of myelin stains. It is the most prominent bundle of fibers that projects from the amydala, largely from the corticomedial nuclear group. It emerges from the amygdala caudally then, bounded medially by the lateral ventrical, it arches upward in a semicircular path following the ventricle and continues anteriorly in the junction of the caudate nucleus with the thalamus. As it reaches the major part of the nucleus of stria terminalis some fibers split into smaller bundles, which  project ventrally to the medial preoptic area, the anterior hypothalamic area, and the ventromedial nucleus of the hypothalamus  ( Carpenter-1983 ).  Other terminal areas include the nucleus accumbens, the olfactory tubercle and,  perhaps, the midline nuclear group of the thalamus. Most prominent in the human is the hypothalamic component.The stria terminalis also carries some fibers from the hypothalamus to the amygdala  ( Olmos-1990 ).",,
287,h,270,9,classical nervous system,White Primary Structure,ventral amygdalofugal projection,vaf,http://braininfo.org/centraldirectory.aspx?ID=287,N/A,,
288,h,271,9,classical nervous system,Volumetric Superstructure,interbrain,IBr,http://braininfo.org/centraldirectory.aspx?ID=288,N/A,,
289,h,272,9,classical nervous system,Superficial Structure,optic nerve,2n,http://braininfo.org/centraldirectory.aspx?ID=289,N/A,,
290,h,273,9,classical nervous system,Superficial Structure,anterior tubercle,at,http://braininfo.org/centraldirectory.aspx?ID=290,N/A,,
291,h,274,9,classical nervous system,Superficial Structure,terminal sulcus,tms,http://braininfo.org/centraldirectory.aspx?ID=291,N/A,,
292,h,275,9,classical nervous system,Volumetric Superstructure,epithalamus,ETh,http://braininfo.org/centraldirectory.aspx?ID=292,N/A,,
293,h,276,9,classical nervous system,Superficial Structure,habenular trigone,hbt,http://braininfo.org/centraldirectory.aspx?ID=293,refers to a depressed elongated triangular area on the dorsomedial angle of the thalamus overlying the stria medullaris and the medial habenula. It is bounded posteriorly by the pineal peduncle ( Riley-1943 ).,,
294,h,277,9,classical nervous system,Volumetric Superstructure,habenula,Hb,http://braininfo.org/centraldirectory.aspx?ID=294,N/A,,
